elemID,permission,layout_width,layout_height,textColor,text,textSize,src_image_text,background_image_text
setting_morepage_row4,GET_TASKS,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,BROADCAST_STICKY,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,ACCESS_WIFI_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,INTERNET,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,GET_TASKS,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,BROADCAST_STICKY,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,ACCESS_WIFI_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,READ_PHONE_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,ACCESS_NETWORK_STATE,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,INTERNET,wrap_content,fill_parent,#ff333333,关于,16.0sp,,
setting_morepage_row4,GET_TASKS,,,,,,,
setting_morepage_row4,BROADCAST_STICKY,,,,,,,
setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
setting_morepage_row4,READ_PHONE_STATE,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,INTERNET,,,,,,,
setting_morepage_row4,BROADCAST_STICKY,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,READ_PHONE_STATE,,,,,,,
setting_morepage_row4,INTERNET,,,,,,,
setting_morepage_row4,GET_TASKS,,,,,,,
setting_morepage_row4,BROADCAST_STICKY,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
setting_morepage_row4,READ_PHONE_STATE,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,READ_PHONE_STATE,,,,,,,
setting_morepage_row4,INTERNET,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_COARSE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_FINE_LOCATION,,,,,,,
setting_morepage_row4,ACCESS_NETWORK_STATE,,,,,,,
setting_morepage_row4,ACCESS_WIFI_STATE,,,,,,,
setting_morepage_row4,READ_PHONE_STATE,,,,,,,
setting_morepage_row4,INTERNET,,,,,,,
login_forget,GET_TASKS,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,GET_TASKS,,,,,,,
login_forget,VIBRATE,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_COARSE_LOCATION,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,CHANGE_WIFI_STATE,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,WRITE_SETTINGS,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,GET_TASKS,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,GET_TASKS,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_COARSE_LOCATION,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,ACCESS_WIFI_STATE,,,,,,,
login_forget,ACCESS_NETWORK_STATE,,,,,,,
login_forget,READ_PHONE_STATE,,,,,,,
login_forget,INTERNET,,,,,,,
login_forget,GET_TASKS,,,,,,,
login_forget,BROADCAST_STICKY,,,,,,,
login_forget,ACCESS_FINE_LOCATION,,,,,,,
login_forget,ACCESS_COARSE_LOCATION,,,,,,,
